#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-07-08T01:09:27 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5f04f1192611	
#INFO	-out.max=99999	
#INFO	queryParameters=29	
#-oc.form=dec
#-out.max=99999
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=II/246/out
#-nav=cat:II/246&tab:{II/246/out}&key:source=II/246&key:c=220.54852980992 11.96488163122&pos:220.54852980992 11.96488163122( 5.142666666666666 deg J2000)&HTTPPRM:&&-ref=VIZ5f04f1192611&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c=220.54852980992 11.96488163122&-c.eq=J2000&-c.r=2.5713&-c.u=deg&-c.geom=b&-order=I&-out=RAJ2000&-out=DEJ2000&-out=2MASS&-out=Jmag&-out=e_Jmag&-out=Hmag&-out=e_Hmag&-out=Kmag&-out=e_Kmag&-out=Qflg&-out=Rflg&-out=Bflg&-out=Cflg&-out=Xflg&-out=Aflg&-ignore=Opt=*&Opt=Opt&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=II/246/out
#-c=220.54852980992 11.96488163122
#-c.eq=J2000
#-c.r=2.5713
#-c.u=deg
#-c.geom=b
#-source=II/246/out
#-out=RAJ2000
#-out=DEJ2000
#-out=2MASS
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#-out=Qflg
#-out=Rflg
#-out=Bflg
#-out=Cflg
#-out=Xflg
#-out=Aflg
#
#INFO	-c=220.548530+11.964882,bd=2.571300/2.5713	
#Constraint -bmark=POST

#RESOURCE=yCat_2246
#Name: II/246
#Title: 2MASS All-Sky Catalog of Point Sources (Cutri+ 2003)
#Table	II_246_out:
#Name: II/246/out
#Title: 2MASS Point Source Catalogue, output (on a total of 470,992,970 sources)
#Column	_r	(F8.6)	Distance from center (220.548530+11.964882)[FK5/J2000]	[ucd=pos.angDistance]
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	RAJ2000	(F10.6)	(ra) Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	(dec) Declination (J2000) (dec)	[ucd=pos.eq.dec;meta.main]
#Column	2MASS	(a17)	(designation) Source designation (1)	[ucd=meta.id;meta.main]
#Column	Jmag	(F6.3)	?(j_m) J selected default magnitude (2)	[ucd=phot.mag;em.IR.J]
#Column	e_Jmag	(F6.3)	?(j_msigcom) J total magnitude uncertainty (4)	[ucd=stat.error;phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	?(h_m) H selected default magnitude (2)	[ucd=phot.mag;em.IR.H]
#Column	e_Hmag	(F6.3)	?(h_msigcom) H total magnitude uncertainty (4)	[ucd=stat.error;phot.mag;em.IR.H]
#Column	Kmag	(F6.3)	?(k_m) K selected default magnitude (2)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F6.3)	?(k_msigcom) K total magnitude uncertainty (4)	[ucd=stat.error;phot.mag;em.IR.K]
#Column	Qflg	(A3)	(ph_qual) JHK Photometric quality flag (5)	[ucd=meta.code.qual;phot]
#Column	Rflg	(A3)	(rd_flg) Source of JHK default mag (6)	[ucd=meta.ref]
#Column	Bflg	(A3)	(bl_flg) JHK components fit to source (7)	[ucd=meta.code]
#Column	Cflg	(A3)	(cc_flg) Artifact contamination, confusion (8)	[ucd=meta.code]
#Column	Xflg	(I1)	[0,2] (gal_contam) Extended source contamination (10)	[ucd=meta.code]
#Column	Aflg	(I1)	[0,1] (mp_flg) Association with asteroid or comet (11)	[ucd=meta.code]
_r	_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
0.753421	221.07338900	+11.41399500	221.073389	+11.413995	14441761+1124503 	16.267	 0.115	15.654	 0.185	14.919	 0.137	BCB	222	111	000	0	0
0.753703	219.85207600	+11.64344700	219.852076	+11.643447	14392449+1138364 	14.873	 0.032	14.493	 0.045	14.478	 0.104	AAA	222	111	000	0	0
0.753907	221.25687200	+12.26274900	221.256872	+12.262749	14450164+1215458 	15.880	 0.078	15.444	 0.131	15.415	 0.173	ABC	222	111	000	0	0
0.753956	219.79323000	+11.81591600	219.793230	+11.815916	14391037+1148572 	16.747	 0.133	16.415	 0.207	15.779	      	BDU	220	110	000	0	0
0.754034	219.77982900	+11.91058100	219.779829	+11.910581	14390715+1154380 	12.035	 0.027	11.501	 0.026	11.383	 0.023	AAA	222	111	000	0	0
0.754126	219.86047700	+11.62565800	219.860477	+11.625658	14392651+1137323 	15.183	 0.052	14.861	 0.052	14.916	 0.149	AAB	222	111	000	0	0
0.754136	221.07501600	+12.51623900	221.075016	+12.516239	14441800+1230584 	16.085	 0.081	15.295	 0.106	15.461	 0.202	AAC	222	111	000	0	0
0.754201	219.86513100	+11.61661700	219.865131	+11.616617	14392763+1136598 	15.571	 0.059	14.971	 0.065	14.770	 0.108	AAA	222	111	000	0	0
0.754215	220.93077400	+12.62013300	220.930774	+12.620133	14434338+1237124 	14.549	 0.033	14.164	 0.043	14.291	 0.067	AAA	222	111	000	0	0
0.754301	221.28997100	+11.75881500	221.289971	+11.758815	14450959+1145317 	12.303	 0.026	11.657	 0.024	11.453	 0.021	AAA	222	111	000	0	0
0.754701	221.06050700	+11.40078600	221.060507	+11.400786	14441452+1124028 	14.354	 0.032	14.003	 0.051	13.868	 0.062	AAA	222	111	000	0	0
0.754819	219.97157800	+11.46427900	219.971578	+11.464279	14395317+1127514 	15.828	 0.086	15.271	 0.101	15.578	 0.266	AAD	222	111	000	0	0
0.755041	220.33525200	+12.69060400	220.335252	+12.690604	14412046+1241261 	16.620	 0.141	15.567	 0.142	15.798	 0.213	BBD	222	111	000	0	0
0.755308	220.29830700	+11.25044900	220.298307	+11.250449	14411159+1115016 	13.517	 0.028	13.200	 0.028	13.064	 0.033	AAA	222	111	000	0	0
0.755332	220.42202800	+11.21978400	220.422028	+11.219784	14414128+1113112 	16.568	 0.175	15.451	 0.136	15.645	 0.296	CBD	222	111	000	0	0
0.755475	220.06501100	+12.55436900	220.065011	+12.554369	14401560+1233157 	16.075	 0.084	15.473	 0.118	15.340	 0.182	ABC	222	111	000	0	0
0.755764	221.17039500	+11.51713400	221.170395	+11.517134	14444089+1131016 	15.466	 0.070	14.896	 0.067	14.705	 0.111	AAB	222	111	000	0	0
0.756107	219.82975900	+12.24378000	219.829759	+12.243780	14391914+1214376 	16.407	 0.112	15.902	 0.147	15.399	      	BBU	220	110	000	0	0
0.756143	220.14761300	+11.31868900	220.147613	+11.318689	14403542+1119072 	16.861	 0.203	15.885	 0.153	14.445	      	DCU	220	110	000	0	0
0.756308	221.32128500	+11.94320900	221.321285	+11.943209	14451710+1156355 	16.115	 0.114	15.414	 0.104	15.110	      	BAU	220	110	000	0	0
0.756626	220.08478300	+12.57079700	220.084783	+12.570797	14402034+1234148 	16.256	 0.102	15.546	 0.126	15.222	 0.175	ABC	222	111	000	0	0
0.756969	221.30107400	+11.78975300	221.301074	+11.789753	14451225+1147231 	15.831	 0.099	15.183	 0.084	14.685	 0.118	AAB	222	111	000	0	0
0.756971	221.28870700	+12.18651600	221.288707	+12.186516	14450928+1211114 	13.906	 0.027	13.156	 0.033	12.996	 0.030	AAA	222	111	000	0	0
0.757076	221.28984400	+12.18320200	221.289844	+12.183202	14450956+1210595 	16.866	 0.171	16.029	 0.188	15.865	 0.249	CCD	222	111	000	0	0
0.757198	221.05746800	+12.53584100	221.057468	+12.535841	14441379+1232090 	16.133	 0.088	15.258	 0.099	15.287	 0.162	AAC	222	111	000	0	0
0.757205	220.58744100	+12.72113200	220.587441	+12.721132	14422098+1243160 	13.342	 0.023	12.899	 0.026	12.738	 0.030	AAA	222	111	000	0	0
0.757215	220.52009600	+12.72158700	220.520096	+12.721587	14420482+1243177 	12.261	 0.021	11.947	 0.024	11.905	 0.020	AAA	222	111	000	0	0
0.757290	219.94320300	+12.43757200	219.943203	+12.437572	14394636+1226152 	14.847	 0.034	14.220	 0.042	14.005	 0.060	AAA	222	111	000	0	0
0.757505	220.27140300	+12.67235000	220.271403	+12.672350	14410513+1240204 	13.279	 0.026	12.681	 0.028	12.424	 0.022	AAA	222	111	000	0	0
0.757512	219.79339900	+12.13355900	219.793399	+12.133559	14391041+1208008 	16.712	 0.144	15.835	 0.142	14.990	 0.139	BBB	222	111	000	0	0
0.757534	219.98298400	+11.44798200	219.982984	+11.447982	14395591+1126527 	16.203	 0.123	15.832	 0.152	15.091	 0.161	BBC	222	111	000	0	0
0.757604	221.11886300	+11.45294200	221.118863	+11.452942	14442852+1127105 	11.747	 0.023	11.105	 0.024	10.999	 0.021	AAA	222	111	000	0	0
0.757634	219.77450900	+11.94042900	219.774509	+11.940429	14390588+1156255 	15.342	 0.048	14.725	 0.054	14.597	 0.109	AAB	222	111	000	0	0
0.757682	220.91128400	+12.63455700	220.911284	+12.634557	14433870+1238044 	15.910	 0.090	15.331	 0.108	14.668	 0.106	AAA	222	111	000	0	0
0.757976	221.24732600	+12.29316600	221.247326	+12.293166	14445935+1217353 	12.696	 0.022	12.352	 0.031	12.310	 0.029	AAA	222	111	000	0	0
0.757994	219.78006500	+11.86897800	219.780065	+11.868978	14390721+1152083 	16.547	 0.117	16.167	 0.184	15.646	 0.239	BCD	222	111	000	0	0
0.758041	221.11384600	+12.48389500	221.113846	+12.483895	14442732+1229020 	16.795	 0.178	16.432	 0.255	15.948	      	CDU	220	110	000	0	0
0.758051	219.81596900	+12.21294400	219.815969	+12.212944	14391583+1212465 	13.775	 0.022	13.466	 0.029	13.435	 0.038	AAA	222	111	000	0	0
0.758161	220.36886300	+11.22743100	220.368863	+11.227431	14412852+1113387 	16.836	 0.170	16.223	 0.227	15.861	 0.268	CDD	222	111	000	0	0
0.758311	221.29171800	+11.75033800	221.291718	+11.750338	14451001+1145012 	16.166	 0.116	15.705	 0.142	15.382	 0.193	BBC	222	111	000	0	0
0.758601	221.20378000	+12.37133000	221.203780	+12.371330	14444890+1222167 	16.727	 0.172	15.780	 0.182	15.350	 0.168	CCC	222	111	000	0	0
0.758763	219.78429900	+11.83639200	219.784299	+11.836392	14390823+1150110 	16.825	 0.148	16.033	 0.150	16.949	      	CBU	220	110	000	0	0
0.758873	220.59994500	+12.72209100	220.599945	+12.722091	14422398+1243195 	16.732	 0.147	16.114	 0.215	15.566	      	BCU	220	110	000	0	0
0.758911	220.05889600	+12.55396200	220.058896	+12.553962	14401413+1233142 	15.710	 0.065	15.221	 0.093	15.135	 0.148	AAB	222	111	000	0	0
0.758975	221.30883600	+12.11698100	221.308836	+12.116981	14451412+1207011 	16.780	 0.149	16.188	 0.217	15.989	 0.293	BDD	222	111	000	0	0
0.759010	221.31798500	+12.06330700	221.317985	+12.063307	14451631+1203479 	16.960	 0.211	15.685	 0.137	15.557	 0.222	CBD	222	111	000	0	0
0.759189	220.60578200	+12.72200800	220.605782	+12.722008	14422538+1243192 	14.534	 0.031	14.211	 0.043	14.271	 0.069	AAA	222	111	000	0	0
0.759224	219.84556000	+12.28746900	219.845560	+12.287469	14392293+1217148 	15.218	 0.043	14.945	 0.063	14.852	 0.132	AAB	222	111	000	0	0
0.759322	221.16513500	+11.50434300	221.165135	+11.504343	14443963+1130156 	16.265	 0.144	15.660	 0.130	15.170	 0.188	BBC	222	111	000	0	0
0.759340	219.81695000	+12.21959100	219.816950	+12.219591	14391606+1213105 	15.215	 0.042	14.656	 0.051	14.226	 0.069	AAA	222	111	000	0	0
0.759445	220.72053900	+12.70550300	220.720539	+12.705503	14425292+1242198 	15.167	 0.044	14.580	 0.055	14.402	 0.080	AAA	222	111	000	0	0
0.759626	221.32360800	+11.92004800	221.323608	+11.920048	14451766+1155121 	15.192	 0.060	14.551	 0.049	14.478	 0.100	AAA	222	111	000	0	0
0.759744	219.81211500	+11.72456100	219.812115	+11.724561	14391490+1143284 	16.871	 0.171	15.998	 0.164	15.902	      	CCU	220	110	000	0	0
0.759767	219.88637200	+11.56861300	219.886372	+11.568613	14393272+1134070 	16.141	 0.087	15.401	 0.103	15.313	 0.181	AAC	222	111	c00	0	0
0.759836	219.78514800	+12.10607900	219.785148	+12.106079	14390843+1206218 	16.885	 0.166	15.977	 0.163	15.444	      	CCU	220	110	000	0	0
0.759953	221.30459800	+12.14042300	221.304598	+12.140423	14451310+1208255 	15.475	 0.052	14.840	 0.072	14.678	 0.086	AAA	222	111	000	0	0
0.760162	220.49463900	+11.20655500	220.494639	+11.206555	14415871+1112235 	16.703	 0.180	15.726	 0.167	14.929	 0.172	CCC	222	111	000	0	0
0.760463	220.93329400	+12.62592300	220.933294	+12.625923	14434399+1237333 	12.941	 0.022	12.641	 0.023	12.593	 0.025	AAA	222	111	000	0	0
0.760532	220.14232400	+11.31671100	220.142324	+11.316711	14403415+1119001 	16.299	 0.122	15.753	 0.145	15.447	 0.255	BBD	222	111	000	0	0
0.760646	220.76244900	+11.23366900	220.762449	+11.233669	14430298+1114012 	15.692	 0.080	15.011	 0.106	14.828	 0.161	AAC	222	111	000	0	0
0.760738	220.92148400	+12.63266900	220.921484	+12.632669	14434115+1237576 	16.761	 0.151	16.137	 0.215	17.170	      	BCU	220	110	000	0	0
0.760897	220.54173400	+12.72575000	220.541734	+12.725750	14421001+1243327 	16.068	 0.086	15.286	 0.099	15.142	 0.153	AAB	222	111	000	0	0
0.760929	219.88579600	+11.56731100	219.885796	+11.567311	14393259+1134023 	15.500	 0.060	15.051	 0.088	14.709	 0.113	AAB	222	111	000	0	0
0.761086	220.18603800	+12.63854200	220.186038	+12.638542	14404464+1238187 	16.314	 0.110	15.429	 0.111	15.194	 0.162	BBC	222	111	000	0	0
0.761271	221.30173900	+11.77458600	221.301739	+11.774586	14451241+1146285 	16.426	 0.135	15.549	 0.117	15.120	 0.182	BBC	222	111	000	0	0
0.761279	220.56635300	+11.20380300	220.566353	+11.203803	14421592+1112136 	12.955	 0.032	12.413	 0.027	12.298	 0.030	AAA	222	111	000	0	0
0.761347	221.00861000	+12.57932500	221.008610	+12.579325	14440206+1234455 	15.005	 0.042	14.571	 0.050	14.514	 0.091	AAA	222	111	000	0	0
0.761352	220.03196100	+11.39588900	220.031961	+11.395889	14400767+1123452 	15.978	 0.100	15.443	 0.134	15.235	 0.223	ABD	222	111	000	0	0
0.761360	219.79104700	+12.14068900	219.791047	+12.140689	14390985+1208264 	16.961	 0.179	16.256	 0.202	15.222	 0.169	CCC	222	111	000	0	0
0.761413	221.32113500	+12.05807000	221.321135	+12.058070	14451707+1203290 	16.194	 0.118	16.307	 0.244	15.078	      	BDU	220	110	000	0	0
0.761437	220.82531500	+11.25334800	220.825315	+11.253348	14431807+1115120 	12.759	 0.028	12.397	 0.025	12.408	 0.024	AAA	222	111	000	0	0
0.761455	220.90383800	+11.28760900	220.903838	+11.287609	14433692+1117153 	14.601	 0.037	14.226	 0.060	14.251	 0.122	AAB	222	111	000	0	0
0.761468	219.93858300	+12.43861200	219.938583	+12.438612	14394525+1226190 	15.292	 0.068	14.551	 0.067	14.049	 0.064	AAA	222	111	000	0	0
0.761503	220.31238100	+11.23936300	220.312381	+11.239363	14411497+1114217 	16.834	 0.155	16.222	 0.232	15.838	      	BDU	220	110	000	0	0
0.761538	221.17367300	+12.41938000	221.173673	+12.419380	14444168+1225097 	17.052	 0.207	16.280	 0.229	15.402	 0.177	CDC	222	111	000	0	0
0.761749	220.39840800	+11.21746300	220.398408	+11.217463	14413561+1113028 	16.024	 0.079	15.395	 0.118	15.096	 0.148	ABB	222	111	000	0	0
0.761899	220.48567700	+12.72430300	220.485677	+12.724303	14415656+1243274 	16.399	 0.117	15.480	 0.137	14.847	 0.102	BBA	222	111	0c0	0	0
0.762055	220.01950000	+11.40600900	220.019500	+11.406009	14400468+1124216 	15.918	 0.099	15.419	 0.125	15.478	 0.227	ABD	222	111	000	0	0
0.762316	221.14092000	+11.47023400	221.140920	+11.470234	14443382+1128128 	16.731	 0.189	15.814	 0.157	15.792	      	CCU	220	110	000	0	0
0.762383	220.97498400	+12.60331600	220.974984	+12.603316	14435399+1236119 	16.820	 0.145	15.646	      	15.341	 0.172	BUC	202	101	000	0	0
0.762385	221.22796200	+12.33912900	221.227962	+12.339129	14445471+1220208 	16.872	 0.163	16.094	 0.180	15.935	 0.264	CCD	222	111	000	0	0
0.762412	220.15076100	+12.62079800	220.150761	+12.620798	14403618+1237148 	13.864	 0.025	13.155	 0.029	13.020	 0.033	AAA	222	111	000	0	0
0.762731	219.76958200	+11.93313200	219.769582	+11.933132	14390469+1155592 	12.767	 0.027	12.055	 0.023	11.900	 0.024	AAA	222	111	000	0	0
0.762831	221.05161400	+11.38248800	221.051614	+11.382488	14441238+1122569 	14.828	 0.037	14.507	 0.069	14.343	 0.082	AAA	222	111	000	0	0
0.762841	221.08521600	+12.51881900	221.085216	+12.518819	14442045+1231077 	16.487	 0.113	16.309	 0.238	15.896	      	BDU	220	110	000	0	0
0.763119	219.77428900	+12.05904000	219.774289	+12.059040	14390582+1203325 	16.494	 0.121	15.735	 0.127	15.143	      	BBU	220	110	000	0	0
0.763154	221.31114900	+11.80524000	221.311149	+11.805240	14451467+1148188 	14.974	 0.052	14.638	 0.067	14.577	 0.100	AAA	222	111	000	0	0
0.763351	221.09337000	+11.41894500	221.093370	+11.418945	14442240+1125082 	16.334	 0.140	15.637	 0.192	15.400	 0.192	BCC	222	111	000	0	0
0.763404	219.93726900	+11.49097600	219.937269	+11.490976	14394494+1129275 	16.262	 0.138	15.610	 0.158	15.026	 0.158	BCC	222	111	000	0	0
0.763407	220.13712800	+11.31647500	220.137128	+11.316475	14403291+1118593 	16.205	 0.121	15.799	 0.168	15.430	 0.249	BCD	222	111	000	0	0
0.763512	220.47739000	+12.72522400	220.477390	+12.725224	14415457+1243308 	15.312	 0.060	14.614	 0.082	13.939	 0.066	AAA	222	111	000	0	0
0.763578	220.06185900	+12.56228500	220.061859	+12.562285	14401484+1233442 	11.334	 0.021	11.002	 0.019	10.948	 0.020	AAA	222	111	000	0	0
0.763906	219.80737100	+11.72533500	219.807371	+11.725335	14391376+1143312 	14.782	 0.042	14.191	 0.037	14.207	 0.060	AAA	222	111	000	0	0
0.763910	220.81622500	+11.24738600	220.816225	+11.247386	14431589+1114505 	16.144	 0.106	15.528	 0.139	14.660	      	BBU	220	110	000	0	0
0.764124	220.14930000	+12.62194200	220.149300	+12.621942	14403583+1237189 	13.070	 0.034	12.474	 0.039	12.363	 0.035	AAA	222	111	000	0	0
0.764217	219.88593200	+11.56085200	219.885932	+11.560852	14393262+1133390 	15.277	 0.047	14.936	 0.065	14.731	 0.135	AAB	222	111	000	0	0
0.764265	221.27126800	+12.25598800	221.271268	+12.255988	14450510+1215215 	16.755	 0.169	15.902	 0.174	16.064	      	CCU	220	110	000	0	0
0.764302	221.22497200	+12.34812600	221.224972	+12.348126	14445399+1220532 	14.789	 0.040	14.135	 0.048	13.896	 0.044	AAA	222	111	000	0	0
0.764360	221.32983000	+11.95870100	221.329830	+11.958701	14451915+1157313 	16.755	 0.163	16.643	      	15.469	 0.189	CUC	202	101	000	0	0
0.764465	221.02613400	+11.36021300	221.026134	+11.360213	14440627+1121367 	16.594	 0.145	15.717	 0.179	15.178	 0.177	BCC	222	111	000	0	0
0.764492	219.92116300	+12.42141000	219.921163	+12.421410	14394107+1225170 	16.582	 0.125	16.089	 0.193	15.404	      	BCU	220	110	000	0	0
0.764882	221.32587000	+12.04816500	221.325870	+12.048165	14451820+1202533 	14.164	 0.030	13.494	 0.032	13.471	 0.051	AAA	222	111	000	0	0
0.764954	220.09946200	+12.59147100	220.099462	+12.591471	14402387+1235292 	12.882	 0.023	12.556	 0.021	12.520	 0.026	AAA	222	111	000	0	0
0.765106	219.76652200	+11.97761800	219.766522	+11.977618	14390396+1158394 	14.091	 0.034	13.740	 0.030	13.696	 0.050	AAA	222	111	000	0	0
0.765152	221.18885600	+11.52620900	221.188856	+11.526209	14444532+1131343 	15.838	 0.080	15.142	 0.103	15.263	 0.187	AAC	222	111	000	0	0
0.765406	219.77528900	+11.84913400	219.775289	+11.849134	14390606+1150568 	16.160	 0.096	15.354	 0.090	15.256	 0.196	AAC	222	111	000	0	0
0.765680	219.76595500	+11.97880400	219.765955	+11.978804	14390382+1158436 	16.580	 0.130	15.884	 0.148	14.606	      	BBU	220	110	cc0	0	0
0.765704	220.92024900	+11.29127700	220.920249	+11.291277	14434085+1117285 	15.245	 0.058	14.893	 0.087	14.556	 0.116	AAB	222	111	000	0	0
0.766064	220.26641700	+12.67964900	220.266417	+12.679649	14410394+1240467 	15.790	 0.068	15.290	 0.106	15.272	 0.128	AAB	222	111	000	0	0
0.766078	221.08168200	+12.52650000	221.081682	+12.526500	14441960+1231354 	15.336	 0.050	14.948	 0.072	14.963	 0.127	AAB	222	111	000	0	0
0.766133	219.98728400	+11.43110800	219.987284	+11.431108	14395694+1125519 	14.859	 0.050	14.227	 0.041	14.299	 0.080	AAA	222	111	000	0	0
0.766239	221.28200400	+12.23465400	221.282004	+12.234654	14450768+1214047 	15.562	 0.053	15.209	 0.103	15.265	 0.148	AAB	222	111	000	0	0
0.766278	219.77877500	+12.10780000	219.778775	+12.107800	14390690+1206280 	16.250	 0.084	15.291	 0.086	15.329	 0.185	AAC	222	111	000	0	0
0.766404	220.79276300	+12.69319900	220.792763	+12.693199	14431026+1241355 	15.549	 0.060	14.913	 0.071	14.779	 0.110	AAB	222	111	000	0	0
0.766685	221.03213800	+12.56861100	221.032138	+12.568611	14440771+1234069 	16.653	 0.133	16.108	 0.185	16.596	      	BCU	220	110	000	0	0
0.766823	219.85223700	+11.61355000	219.852237	+11.613550	14392453+1136487 	15.650	 0.070	15.101	 0.066	14.820	 0.135	AAB	222	111	000	0	0
0.766876	220.70460800	+12.71644800	220.704608	+12.716448	14424910+1242592 	15.903	 0.078	15.084	 0.081	14.882	 0.122	AAB	222	111	000	0	0
0.766997	221.31722300	+12.11690400	221.317223	+12.116904	14451613+1207008 	17.069	 0.207	16.006	 0.209	15.403	 0.173	CCC	222	111	000	0	0
0.767168	219.85605400	+11.60567500	219.856054	+11.605675	14392545+1136204 	13.792	 0.027	13.135	 0.029	12.968	 0.031	AAA	222	111	000	0	0
0.767285	219.90946500	+12.41044600	219.909465	+12.410446	14393827+1224376 	16.705	 0.144	15.864	 0.171	15.135	 0.157	BCC	222	111	000	0	0
0.767496	219.97850800	+11.43810600	219.978508	+11.438106	14395484+1126171 	16.524	 0.134	15.748	 0.150	15.527	      	BBU	220	110	000	0	0
0.767666	220.11345300	+11.32634100	220.113453	+11.326341	14402722+1119348 	12.928	 0.026	12.399	 0.026	12.393	 0.033	AAA	222	111	000	0	0
0.767685	220.28119500	+11.24324100	220.281195	+11.243241	14410748+1114356 	12.484	 0.023	12.015	 0.026	12.009	 0.024	AAA	222	111	000	0	0
0.767783	220.23267600	+12.66792300	220.232676	+12.667923	14405584+1240045 	11.905	 0.024	11.366	 0.021	11.258	 0.020	AAA	222	111	000	0	0
0.767855	221.15239200	+12.45607000	221.152392	+12.456070	14443657+1227218 	16.498	 0.109	15.811	 0.145	15.672	 0.201	BBC	222	111	000	0	0
0.767971	219.76418100	+11.99788700	219.764181	+11.997887	14390340+1159523 	15.063	 0.039	14.552	 0.057	14.625	 0.098	AAA	222	111	000	0	0
0.768025	219.77781800	+12.11220900	219.777818	+12.112209	14390667+1206439 	11.802	 0.027	11.220	 0.024	11.077	 0.019	AAA	222	111	000	0	0
0.768347	221.26657600	+12.27713200	221.266576	+12.277132	14450397+1216376 	16.480	 0.122	15.777	 0.158	16.227	      	BCU	220	110	000	0	0
0.768373	221.09940900	+11.41771400	221.099409	+11.417714	14442385+1125037 	16.108	 0.099	15.372	 0.106	15.528	 0.222	ABD	222	111	000	0	0
0.768487	219.90604200	+12.40780200	219.906042	+12.407802	14393745+1224280 	16.090	 0.086	16.155	 0.213	15.516	 0.226	ACD	222	111	000	0	0
0.768602	219.89348100	+12.39003400	219.893481	+12.390034	14393443+1223241 	16.429	 0.110	15.915	 0.167	15.311	      	BCU	220	110	000	0	0
0.768609	219.77861400	+11.81273700	219.778614	+11.812737	14390686+1148458 	15.992	 0.071	15.360	 0.091	15.351	 0.189	AAC	222	111	000	0	0
0.768757	221.18645400	+11.51667100	221.186454	+11.516671	14444474+1131000 	15.570	 0.064	15.064	 0.077	14.578	 0.103	AAA	222	111	000	0	0
0.768959	221.20454100	+12.38926000	221.204541	+12.389260	14444908+1223213 	13.524	 0.026	13.200	 0.036	13.088	 0.032	AAA	222	111	000	0	0
0.769019	220.05079500	+12.56055700	220.050795	+12.560557	14401219+1233380 	13.402	 0.023	13.037	 0.026	13.020	 0.032	AAA	222	111	000	0	0
0.769084	221.33348800	+11.92338400	221.333488	+11.923384	14452003+1155241 	12.740	 0.024	12.206	 0.027	12.022	 0.019	AAA	222	111	000	0	0
0.769258	221.24984100	+11.61780700	221.249841	+11.617807	14445996+1137041 	14.341	 0.033	13.835	 0.039	13.744	 0.052	AAA	222	111	000	0	0
0.769404	220.13420300	+12.61917400	220.134203	+12.619174	14403220+1237090 	14.538	 0.028	13.930	 0.035	13.680	 0.046	AAA	222	111	000	0	0
0.769467	221.14221400	+12.47025900	221.142214	+12.470259	14443413+1228129 	15.052	 0.035	14.729	 0.076	14.816	 0.093	AAA	222	111	000	0	0
0.769667	220.27617100	+11.24293300	220.276171	+11.242933	14410628+1114345 	16.589	 0.153	15.740	      	15.685	      	BUU	200	100	000	0	0
0.769714	220.02762600	+11.38848300	220.027626	+11.388483	14400663+1123185 	16.436	 0.141	16.139	 0.193	15.489	 0.224	BCD	222	111	000	0	0
0.769789	220.27810100	+12.68791500	220.278101	+12.687915	14410674+1241164 	16.657	 0.153	16.507	      	15.755	 0.199	BUC	202	101	000	0	0
0.770030	221.27437600	+12.26371100	221.274376	+12.263711	14450585+1215493 	16.125	 0.096	15.534	 0.135	15.368	 0.166	ABC	222	111	000	0	0
0.770242	220.86129800	+12.67192000	220.861298	+12.671920	14432671+1240189 	16.977	 0.191	15.967	 0.184	15.323	 0.174	CCC	222	111	000	0	0
0.770558	221.09050200	+11.40624200	221.090502	+11.406242	14442172+1124224 	15.617	 0.075	14.942	 0.077	14.743	 0.107	AAA	222	111	000	0	0
0.770570	221.09245800	+12.52276100	221.092458	+12.522761	14442218+1231219 	13.690	 0.024	13.056	 0.026	12.789	 0.030	AAA	222	111	000	0	0
0.770911	219.86807800	+12.35454100	219.868078	+12.354541	14392833+1221163 	16.115	 0.089	15.464	 0.096	14.959	 0.139	AAB	222	111	000	0	0
0.770912	220.29926300	+11.23366100	220.299263	+11.233661	14411182+1114011 	15.644	 0.057	15.067	 0.096	15.077	 0.139	AAB	222	111	000	0	0
0.770921	221.29127200	+12.22347700	221.291272	+12.223477	14450990+1213245 	13.934	 0.028	13.506	 0.037	13.414	 0.037	AAA	222	111	000	0	0
